CityName,State_Capital,2010pop,2013pop,Growth,Form of Government,Median Income,Poverty,Nonwhite,Region,Subregion,Land Area Sq M,Density_pop_sq_km,FT_emp,FT_pay,PT_emp,PT_pay,FTE
Santa RosaCA,0,167815,171990,0.024878587,Council-Manager,60354,0.124913464,0.234590693,West,Pacific,106947059,1608.178865,1109,8034850,250,322153,1211
SavannahGA,0,136286,142772,0.047591095,Council-Manager,35838,0.228061882,0.590173328,South,South Atlantic,267757183,533.2144535,2468,8928076,84,117598,2527
ShreveportLA,0,199311,200327,0.005097561,Mayor-Council,38633,0.19383205,0.589103953,Midwest,West South Central,277482832,721.9437634,,,,,
Simi ValleyCA,0,124237,126181,0.015647512,Council-Manager,87269,0.062746889,0.234417442,West,Pacific,107421128,1174.638568,559,3282170,38,34092,572
Sioux FallsSD,0,153888,164676,0.070102932,Mayor-Council,51672,0.100979864,0.136172507,Midwest,West North Central,194066525,848.554381,1128,5605471,314,328487,1259
SpringfieldIL,1,116250,117006,0.006503226,Mayor-Council,49317,0.159594832,0.245341002,Midwest,East North Central,155139061,754.2007747,1414,8658963,0,0,1414
SpringfieldMA,0,153060,153703,0.004200967,Mayor-Council,34311,0.261041009,0.474971974,Northeast,New England,82539279,1862.180066,5871,28318797,370,467863,6052
St. PetersburgFL,0,244769,249688,0.020096499,Mayor-Council,45044,0.156644043,0.312906966,South,South Atlantic,159935822,1561.176207,,,,,
Sterling HeightsMI,0,129699,131224,0.011757994,Council-Manager,57075,0.122541453,0.144076062,Midwest,East North Central,94553340,1387.830403,481,3080514,202,225882,562
StocktonCA,0,291707,298118,0.021977532,Council-Manager,46831,0.220192523,0.553674178,West,Pacific,159717208,1866.53651,1308,8620392,311,286778,1416
SunnyvaleCA,0,140081,147559,0.0533834,Council-Manager,100043,0.075770157,0.543362523,West,Pacific,56936611,2591.636513,777,7086915,267,369758,872
SurpriseAZ,0,117517,123546,0.051303216,Mayor-Council,58455,0.087393925,0.140625,West,Mountain,279333692,442.2882149,654,3754888,170,180693,738
TampaFL,0,335709,352957,0.05137783,Mayor-Council,43242,0.194703986,0.358727398,South,South Atlantic,293748389,1201.562334,,,,,
TemeculaCA,0,100097,106780,0.066765238,Council-Manager,78356,0.080649091,0.285453925,West,Pacific,96376415,1107.947416,,,,,
TempeAZ,0,161719,168228,0.040248827,Mayor-Council,47941,0.198206893,0.245996771,West,Mountain,103566265,1624.351327,1483,9382078,643,668080,1742
ThorntonCO,0,118772,127359,0.072298185,Council-Manager,64525,0.087239562,0.167788596,West,Mountain,92445001,1377.673196,,,,,
Thousand OaksCA,0,126683,128731,0.016166336,Council-Manager,100476,0.065148089,0.216660385,West,Pacific,142919822,900.7218047,347,2421380,190,234104,426
ToledoOH,0,287208,282313,-0.017043397,Mayor-Council,33317,0.245947754,0.348589465,Midwest,East North Central,209065315,1350.357901,2754,12954252,27,45314,2767
TorranceCA,0,145438,147478,0.014026596,Council-Manager,77061,0.071661639,0.491979451,West,Pacific,53038407,2780.588791,1181,9655688,499,634137,1394
TylerTX,0,96945,100223,0.033812987,Council-Manager,43289,0.179702039,0.306371078,Midwest,West South Central,146667947,683.3326712,782,3715104,70,42106,803
VallejoCA,0,115942,118837,0.024969381,Council-Manager,58371,0.159738296,0.590080202,West,Pacific,79438815,1495.956353,,,,,
VancouverWA,0,161791,167405,0.034699087,Council-Manager,48979,0.154913443,0.193576299,West,Pacific,121398815,1378.967332,,,,,
VenturaCA,0,106433,108817,0.022399068,Council-Manager,65137,0.09937611,0.217180686,West,Pacific,56504587,1925.808253,,,,,
VisaliaCA,0,124442,127763,0.026687131,Council-Manager,52899,0.174809963,0.197311597,West,Pacific,97057457,1316.364594,,,,,
WarrenMI,0,134056,134873,0.006094468,Mayor-Council,43962,0.170112222,0.227436447,Midwest,East North Central,89052398,1514.535296,713,4055744,343,479840,887
WaterburyCT,0,110366,109676,-0.006251925,Mayor-Council,40639,0.214307782,0.400964998,Northeast,New England,73880017,1484.515089,3803,19738264,815,1315007,4268
